id,variant,length,score_blosum,mismatches,gap_count
XNJ29448.1,Omicron,1270,6471.5,30,9
UNH84952.2,Omicron,1270,6137.5,82,9
WKI93754.1,Omicron,1271,5057.5,264,2
UJD51868.1,Omicron,1270,6471.5,30,9
UOW94353.1,Omicron,1268,4984.5,268,5
UJE87758.1,Omicron,1267,6377.5,47,6
UIG71576.1,Omicron,1270,6471.5,30,9
XNJ39463.1,Omicron,1270,6275.5,60,9
UKR36436.1,Omicron,1268,5920.5,123,5
UIQ31768.1,Omicron,1270,6471.5,30,9
UYR25677.1,Omicron,1268,4970.5,271,5
UJK89479.1,Omicron,1268,5041.5,258,5
UJS55662.1,Omicron,1270,6465.5,31,9
UJI99788.1,Omicron,1270,6185.5,74,9
ULD33023.1,Omicron,1270,6216.5,68,9
ULS26161.1,Omicron,1270,6494.5,26,9
UJA89771.1,Omicron,1270,5935.5,116,9
UJN45692.1,Omicron,1270,5740.5,147,9
UHU89806.1,Omicron,1270,5985.5,107,9
UJE70250.1,Omicron,1270,6471.5,30,9
UIF09017.1,Omicron,1270,6000.5,105,9
UKV30960.1,Omicron,1270,5935.5,116,9
UKS97330.1,Omicron,1270,6471.5,30,9
UKU05638.2,Omicron,1270,5688.5,163,9
URJ05406.1,Omicron,1270,5214.5,240,9
UKC66273.1,Omicron,1270,6466.5,31,9
UOX08755.1,Omicron,1271,6575.5,20,2
UIR71112.1,Omicron,1270,6031.5,101,9
UJM83007.1,Omicron,1270,6206.5,69,9
UIG05901.1,Omicron,1267,5821.5,137,6
UMP34413.1,Omicron,1270,6471.5,30,9
